Date,Team1,Team2,Team1_Score,Team2_Score,Tournament,City,Country,Neutral
2018-06-25,Russia,Urugay,0,3,FIFA World Cup,Moscow,Russia,FALSE
2018-06-25,Saudi Arabia,Egypt,2,1,FIFA World Cup,Moscow,Russia,TRUE
2018-06-25,Iran,Portugal,1,1,FIFA World Cup,Moscow,Russia,TRUE
2018-06-25,Spain,Morocco,2,2,FIFA World Cup,Moscow,Russia,TRUE
2018-06-26,Denmark,France,0,0,FIFA World Cup,Moscow,Russia,TRUE
2018-06-26,Australia,Peru,0,2,FIFA World Cup,Moscow,Russia,TRUE
2018-06-26,Nigeria,Argentina,1,2,FIFA World Cup,Moscow,Russia,TRUE
2018-06-26,Iceland,Croatia,1,2,FIFA World Cup,Moscow,Russia,TRUE
2018-06-27,Mexico,Sweden,0,3,FIFA World Cup,Moscow,Russia,TRUE
2018-06-27,Korea Republic,Germany,2,0,FIFA World Cup,Moscow,Russia,TRUE
2018-06-27,Serbia,Brazil,0,2,FIFA World Cup,Moscow,Russia,TRUE
2018-06-27,Switzerland,Costa Rica,2,2,FIFA World Cup,Moscow,Russia,TRUE
2018-06-28,Japan,Poland,0,1,FIFA World Cup,Moscow,Russia,TRUE
2018-06-28,Senegal,Colombia,0,1,FIFA World Cup,Moscow,Russia,TRUE
2018-06-28,Panama,Tunisia,1,2,FIFA World Cup,Moscow,Russia,TRUE
2018-06-28,England,Belgium,0,1,FIFA World Cup,Moscow,Russia,TRUE
2018-06-30,France,Argentina,4,3,FIFA World Cup,Moscow,Russia,TRUE
2018-06-30,Uruguay,Portugal,2,1,FIFA World Cup,Moscow,Russia,TRUE
2018-07-01,Russia,Spain,1,1,FIFA World Cup,Moscow,Russia,FALSE
2018-07-01,Croatia,Denmark,1,1,FIFA World Cup,Moscow,Russia,TRUE
2018-07-02,Brazil,Mexico,2,0,FIFA World Cup,Moscow,Russia,TRUE
2018-07-02,Belgium,Japan,3,2,FIFA World Cup,Moscow,Russia,TRUE
2018-07-03,Sweden,Switzerland,1,0,FIFA World Cup,Moscow,Russia,TRUE
2018-07-03,Colombia,England,1,1,FIFA World Cup,Moscow,Russia,TRUE
2018-07-06,Uruguay,France,0,2,FIFA World Cup,Moscow,Russia,TRUE
2018-07-06,Brazil,Belgium,1,2,FIFA World Cup,Moscow,Russia,TRUE
2018-07-07,Sweden,England,0,2,FIFA World Cup,Moscow,Russia,TRUE
2018-07-07,Russia,Croatia,2,2,FIFA World Cup,Moscow,Russia,FALSE
2018-07-10,France,Belgium,1,0,FIFA World Cup,Moscow,Russia,TRUE
2018-07-11,England,Croatia,1,2,FIFA World Cup,Moscow,Russia,TRUE
2018-07-14,Belgium,England,2,0,FIFA World Cup,Moscow,Russia,TRUE
2018-07-15,France,Croatia,4,2,FIFA World Cup,Moscow,Russia,TRUE
